Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,,,,,46,20437,"Hughes, Jennifer J.",80.00%,,,,13.30%,,,,,,,,,,,,,,,,,,,6.70%,,,
,,,,,,47,20438,"Hughes, Jennifer J.",85.00%,,,,10.00%,,,,,,,,,,5.00%,,,,,,,,,,,,
,,,,,,48,21642,"Hein, George T.",31.60%,10.50%,52.60%,,,,5.30%,,,,,,,,,,,,,,,,,,,,
,,11000,Am Lang&Cultur Intl I,202320,Spring 2023,1,14905,"Hass, Margaret E.",64.30%,,,,7.10%,,7.10%,7.10%,,7.10%,,,,,,,,,,,,,,7.10%,,,
,,,,,,2,14906,"Hass, Margaret E.",31.30%,18.80%,,,6.30%,12.50%,6.30%,12.50%,,,,,6.30%,,6.30%,,,,,,,,,,,,
,,,,,,3,14907,"Rezaee, Parvaneh",81.30%,,,,,,18.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,4,29550,"Rezaee, Parvaneh",43.80%,,,,6.30%,,12.50%,6.30%,,,,,,,12.50%,,,,,,,,,18.80%,,,
,,11100,Am Lang & Culture Intl II,202320,Spring 2023,4,10122,"Li, Haiyan",85.70%,7.10%,,,7.10%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,10124,"Li, Haiyan",93.80%,,,,6.30%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,10125,"Pimenova, Nadezda",62.50%,6.30%,,,6.30%,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,,,,8,10127,"Pimenova, Nadezda",37.50%,18.80%,,,6.30%,12.50%,12.50%,6.30%,6.30%,,,,,,,,,,,,,,,,,,
,,,,,,9,10128,"Moriarty, Stephen W.",43.80%,,56.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,14,14913,"Kim, Minsun",31.30%,31.30%,,,,,25.00%,,,12.50%,,,,,,,,,,,,,,,,,
,,,,,,15,14914,"Kim, Minsun",31.30%,6.30%,,,12.50%,6.30%,37.50%,,,,,,6.30%,,,,,,,,,,,,,,
,,,,,,16,14915,"Goodrich, Negin H.",46.70%,6.70%,26.70%,,13.30%,,,,,6.70%,,,,,,,,,,,,,,,,,
,,,,,,17,14916,"Goodrich, Negin H.",40.00%,13.30%,20.00%,,13.30%,6.70%,,,,,,,,,6.70%,,,,,,,,,,,,
,,,,,,18,14917,"Bras, Heejeon K.",9.10%,45.50%,9.10%,,18.20%,,18.20%,,,,,,,,,,,,,,,,,,,,
,,,,,,19,14918,"Goodrich, Negin H.",30.80%,7.70%,30.80%,,7.70%,,7.70%,7.70%,,7.70%,,,,,,,,,,,,,,,,,
,,,,,,21,14920,"Affricano, Armand E.",36.40%,18.20%,18.20%,,18.20%,,,,,,,,,,,,,,,,,,,9.10%,,,
,,,,,,27,24075,"Affricano, Armand E.",50.00%,18.80%,,,25.00%,6.30%,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,24077,"Bush, Deborah H.",40.00%,6.70%,,,6.70%,20.00%,13.30%,,,,6.70%,,,,6.70%,,,,,,,,,,,,
,,,,,,29,24078,"Spears, Jacob R.",37.50%,12.50%,,,6.30%,12.50%,25.00%,6.30%,,,,,,,,,,,,,,,,,,,
,,,,,,30,22860,"Spears, Jacob R.",80.00%,6.70%,,,,6.70%,6.70%,,,,,,,,,,,,,,,,,,,,
,,,,,,32,24343,"Climer, Ty C.",53.30%,6.70%,,,13.30%,6.70%,,6.70%,6.70%,6.70%,,,,,,,,,,,,,,,,,
,,20200,Engaging English,202320,Spring 2023,2,19077,"Duvall, John N.",24.00%,4.00%,,,24.00%,,16.00%,4.00%,4.00%,,8.00%,,,,8.00%,,,,,,,,,8.00%,,,
,,,,,,3,18329,"Rosell, Carla B.",17.40%,17.40%,,,21.70%,13.00%,17.40%,4.30%,4.30%,,,,,,,,,,,,,,,4.30%,,,
,,,,,,4,25340,"Mercado, Jessica M.",8.70%,8.70%,,,17.40%,17.40%,13.00%,8.70%,4.30%,4.30%,,4.30%,,,4.30%,,,,,,,,,8.70%,,,
,,20300,Research Prof Writ,202320,Spring 2023,2,26139,"Sullivan, Patricia A.",27.80%,27.80%,22.20%,,,,16.70%,5.60%,,,,,,,,,,,,,,,,,,,
,,20400,Science Fiction Writing,202320,Spring 2023,1,25342,"Gray, Casey M.",82.40%,5.90%,,,5.90%,,,,,,,,,,5.90%,,,,,,,,,,,,
,,20500,Intro Creative Writing,202320,Spring 2023,1,18837,"Epps, Cassius R.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,18839,"Chernin, Blake L.",5.00%,5.00%,85.00%,,,,,,,,,,,,5.00%,,,,,,,,,,,,
,,,,,,3,18841,"Knowlton, Kirby R.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,18843,"Chernin, Blake L.",15.80%,5.30%,47.40%,,15.80%,,5.30%,,,,,,,,5.30%,,,,,,,,,5.30%,,,
,,,,,,5,18840,"Alva, Suraj",55.60%,5.60%,27.80%,,,,,,,,,,,,,,,,,,,,,11.10%,,,
,,,,,,6,18838,"Alva, Suraj",33.30%,,55.60%,5.60%,,,,5.60%,,,,,,,,,,,,,,,,,,,
,,,,,,7,25194,"Knowlton, Kirby R.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,23920,"Duran, Angelica A.",61.10%,22.20%,5.60%,,5.60%,,5.60%,,,,,,,,,,,,,,,,,,,,
,,,,,,10,23927,"Ahuja, Kanika",5.60%,16.70%,50.00%,,,,5.60%,5.60%,,,,,,,11.10%,,,,,,,,,5.60%,,,
,,21500,Inventing Languages,202320,Spring 2023,1,24708,"Francis, Elaine J.",50.00%,,15.00%,,5.00%,5.00%,20.00%,,,,5.00%,,,,,,,,,,,,,,,,
,,21900,Magic And Marvels,202320,Spring 2023,1,10471,"Hughes, Shaun F.",39.00%,8.50%,32.20%,,,,8.50%,,,,,,,,5.10%,3.40%,,,1.70%,,,,,1.70%,,,
,,,Magic And Marvels-Honors,202320,Spring 2023,1,10471,"Hughes, Shaun F.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,22300,Literature And Technology,202320,Spring 2023,1,25344,"Plotnitsky, Arkady",57.10%,14.30%,4.80%,,4.80%,4.80%,9.50%,,,4.80%,,,,,,,,,,,,,,,,,
,,22600,Narrative Medicine,202320,Spring 2023,1,23963,"Peterson, Nancy J.",45.80%,20.80%,,,20.80%,,12.50%,,,,,,,,,,,,,,,,,,,,
,,22800,Language And Social Identity,202320,Spring 2023,1,25670,"Nodar, Leah M.",23.10%,30.80%,23.10%,,,,7.70%,,,,,,,,7.70%,,,,,,,,,7.70%,,,
,,23000,Great Narrative Works,202320,Spring 2023,1,23966,"Sagar, Aparajita",,27.30%,22.70%,,27.30%,9.10%,,,,,,,,,,9.10%,,,,,,,,4.50%,,,
,,,Great Narrative Works-Honors,202320,Spring 2023,1,23966,"Sagar, Aparajita",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,23400,Literature And The Environment,202320,Spring 2023,1,25345,"Friedman, Geraldine S.",53.80%,15.40%,,,7.70%,7.70%,,7.70%,,,,,,,,7.70%,,,,,,,,,,,
,,23700,Intro To Poetry,202320,Spring 2023,1,14955,"Flory, Wendy S.",34.80%,13.00%,8.70%,,4.30%,4.30%,17.40%,8.70%,,,,,,,8.70%,,,,,,,,,,,,
,,,Intro To Poetry-Honors,202320,Spring 2023,1,14955,"Flory, Wendy S.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,23800,Intro To Fiction,202320,Spring 2023,1,14956,"Brewer, Joshua A.",23.80%,14.30%,28.60%,,4.80%,4.80%,9.50%,9.50%,,,,4.80%,,,,,,,,,,,,,,,
,,,,,,2,25346,"Anderson, Alexandra M.",45.80%,33.30%,,,12.50%,,4.20%,,,,,,,,4.20%,,,,,,,,,,,,
,,24000,Brit Lit Thru 18 Ct,202320,Spring 2023,1,23972,"Johnston, Michael R.",20.80%,4.20%,,,29.20%,16.70%,8.30%,4.20%,,4.20%,,,,,8.30%,4.20%,,,,,,,,,,,
,,25000,Great American Books,202320,Spring 2023,1,18885,"Lamb, Robert P.",4.00%,4.00%,32.00%,,16.00%,4.00%,12.00%,,,8.00%,,,,,,12.00%,,,,,,,,8.00%,,,
,,26700,World Lit 1700 To Now,202320,Spring 2023,4,26143,"Kroninger, Andrew Y.",43.80%,6.30%,43.80%,,,,,,,,,6.30%,,,,,,,,,,,,,,,
,,28000,"Games, Narrative, Culture",202320,Spring 2023,2,26925,"Blackmon, Samantha",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28600,The Movies,202320,Spring 2023,2,14958,"Felluga, Dino F.",4.80%,14.30%,4.80%,,14.30%,4.80%,42.90%,9.50%,,,,,,,,,,,,,,,,4.80%,,,
,,,,,,3,21690,"Felluga, Dino F.",12.50%,25.00%,4.20%,,8.30%,8.30%,29.20%,,,4.20%,,,,,8.30%,,,,,,,,,,,,
,,30100,Ways Of Reading,202320,Spring 2023,1,18900,"Lukasik, Christopher J.",19.00%,4.80%,28.60%,,19.00%,,14.30%,4.80%,,,,,,,4.80%,,,,,,,,,4.80%,,,
,,30400,Advanced Composition,202320,Spring 2023,1,17924,"Haynes, Linda E.",78.90%,10.50%,,,,5.30%,,,,,,,,,5.30%,,,,,,,,,,,,
,,,,,,2,14959,"Johnson, Michael D.",29.40%,11.80%,17.60%,,5.90%,,11.80%,,,,,,,,11.80%,,,,,,,,,11.80%,,,
,,,,,,3,24290,"Haynes, Linda E.",45.00%,20.00%,5.00%,,10.00%,,5.00%,5.00%,,5.00%,,,,,,,,,,,,,,5.00%,,,
,,30600,Intro Profess Writing,202320,Spring 2023,1,59734,"Hunter, Paul T.",88.90%,,,,5.60%,,,5.60%,,,,,,,,,,,,,,,,,,,
,,30900,Digital Design And Production,202320,Spring 2023,1,66327,"Dilger, C B.",15.00%,,50.00%,,15.00%,,,15.00%,,,,,,,,,,,,,,,,5.00%,,,
,,31600,Craft Of Fiction,202320,Spring 2023,1,23873,"Leung, Brian J.",72.20%,16.70%,11.10%,,,,,,,,,,,,,,,,,,,,,,,,
,,33000,Games And Diversity,202320,Spring 2023,1,25350,"Blackmon, Samantha",89.50%,,,,,,,5.30%,,,,,,,5.30%,,,,,,,,,,,,
,,35100,American Literature After 1865,202320,Spring 2023,1,23996,"Lamb, Robert P.",11.10%,14.80%,33.30%,,7.40%,7.40%,7.40%,3.70%,,,,,,,,14.80%,,,,,,,,,,,
,,35200,Native American Lit,202320,Spring 2023,1,25351,"Peterson, Nancy J.",24.00%,24.00%,,,12.00%,,24.00%,4.00%,,8.00%,,,,,,,,,,,,,,4.00%,,,
,,37300,Science Fict & Fantasy,202320,Spring 2023,1,14969,"Marzec, Robert P.",40.90%,18.20%,,,4.50%,4.50%,18.20%,,,,,,,,9.10%,,,,4.50%,,,,,,,,
,,,,,,2,24006,"McNulty, Erin N.",18.20%,27.30%,,,9.10%,22.70%,18.20%,,,4.50%,,,,,,,,,,,,,,,,,
,,38100,The British Novel,202320,Spring 2023,1,24012,"Allen, Emily L.",38.90%,27.80%,,,5.60%,11.10%,,,,,,,,,,,,,,,,,,16.70%,,,
,,,The British Novel-Honors,202320,Spring 2023,1,24012,"Allen, Emily L.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38200,The American Novel,202320,Spring 2023,1,24033,"Flory, Wendy S.",21.70%,8.70%,26.10%,,4.30%,21.70%,4.30%,4.30%,,,,,,,4.30%,,,,4.30%,,,,,,,,
,,38700,Hist Film Since 1950,202320,Spring 2023,3,20847,"White, Paul W.",40.00%,28.00%,12.00%,,8.00%,,12.00%,,,,,,,,,,,,,,,,,,,,
,,38900,Literature For Children,202320,Spring 2023,1,25352,"Pacheco, Derek A.",33.30%,16.70%,4.20%,,20.80%,12.50%,4.20%,,,,,,,,8.30%,,,,,,,,,,,,
,,39200,Young Adult Literature,202320,Spring 2023,1,25353,"Banack, Arianna D.",57.70%,15.40%,,,7.70%,3.80%,3.80%,3.80%,3.80%,,,,,,3.80%,,,,,,,,,,,,
,,39600,Language & Humor,202320,Spring 2023,4,26071,"Raskin, Victor",73.30%,,20.00%,,,,,,,,,,,,,,,,,,,,,6.70%,,,
,,39900,Beyond English,202320,Spring 2023,1,24156,"Bartlett, Robyn A.",35.70%,21.40%,28.60%,,,,,,,,,,,,14.30%,,,,,,,,,,,,
,,40600,Review Writing,202320,Spring 2023,1,14977,"Rickert, Thomas J.",60.90%,8.70%,17.40%,,,8.70%,4.30%,,,,,,,,,,,,,,,,,,,,
,,,Review Writing-Honors,202320,Spring 2023,1,14977,"Rickert, Thomas J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40700,Intermediate Poetry Writing,202320,Spring 2023,1,18937,"Sakr, Aiya Y.",17.60%,5.90%,64.70%,,5.90%,,,,,,,,,,,,,,,,,,,5.90%,,,
,,,,,,2,25354,"Sakr, Aiya Y.",,,86.70%,,6.70%,,,,,,,,,,,,,,,,,,,6.70%,,,
,,,Intrm Poetry Writing - Honors,202320,Spring 2023,2,25354,"Sakr, Aiya Y.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,40900,Intermediate Fiction Writing,202320,Spring 2023,1,18940,"Gray, Casey M.",55.60%,11.10%,,,22.20%,,5.60%,5.60%,,,,,,,,,,,,,,,,,,,
,,,,,,2,18941,"Gray, Casey M.",64.70%,23.50%,,,,,,,,,,,,,5.90%,,,,,,,,,5.90%,,,
,,,,,,3,23875,"Fraterrigo, Melissa A.",17.60%,29.40%,17.60%,,,5.90%,17.60%,,,,,,,,5.90%,,,,,,,,,5.90%,,,
,,41900,Multimedia Writing,202320,Spring 2023,1,18948,"Milliren, Kaden C.",65.00%,10.00%,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,18949,"Braegger, Victoria L.",15.80%,26.30%,36.80%,,5.30%,5.30%,5.30%,,,,,,,,,,,,,,,,,5.30%,,,
,,42000,Business Writing,202320,Spring 2023,2,18959,"Giles, Danielle N.",78.90%,5.30%,10.50%,,,,5.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,3,18971,"Giles, Danielle N.",20.00%,45.00%,5.00%,,10.00%,,15.00%,,5.00%,,,,,,,,,,,,,,,,,,
,,,,,,5,18966,"Abad, Jason M.",10.50%,15.80%,,,15.80%,15.80%,5.30%,,10.50%,10.50%,5.30%,5.30%,,,,5.30%,,,,,,,,,,,
,,,,,,6,14991,"Abad, Jason M.",10.00%,25.00%,5.00%,,10.00%,10.00%,25.00%,,,10.00%,,,,,5.00%,,,,,,,,,,,,
,,,,,,8,18972,"Beck, Robert S.",40.00%,40.00%,,,15.00%,,5.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,9,18963,"Mccormick, Dan",10.50%,,84.20%,,,,,,,,,,,,5.30%,,,,,,,,,,,,
,,,,,,10,18960,"Mccormick, Dan",25.00%,5.00%,70.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11,18969,"Beck, Robert S.",42.10%,26.30%,,,15.80%,,15.80%,,,,,,,,,,,,,,,,,,,,
,,,,,,13,14992,"Deptula, Adrianna M.",25.00%,20.00%,20.00%,,10.00%,,10.00%,,,,5.00%,,,,,,,,,,,,,10.00%,,,
,,,,,,14,14993,"Deptula, Adrianna M.",25.00%,30.00%,30.00%,,,,10.00%,,,,,,,,,,,,,,,,,5.00%,,,
,,,,,,15,14997,"Nestor Babcock, Sarah",30.00%,20.00%,15.00%,,,,15.00%,,,5.00%,,,,,15.00%,,,,,,,,,,,,
,,,,,,16,14999,"Ricks, Antony N.",25.00%,15.00%,30.00%,,,5.00%,5.00%,10.00%,,,,,5.00%,,5.00%,,,,,,,,,,,,
,,,,,,17,15001,"Ricks, Antony N.",10.50%,21.10%,10.50%,,,15.80%,10.50%,5.30%,,15.80%,,,,,10.50%,,,,,,,,,,,,
,,,,,,18,25202,"Berchtold, Jessica E.",75.00%,20.00%,,,5.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,25203,"Berchtold, Jessica E.",73.70%,15.80%,,,5.30%,5.30%,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,24303,"Ricks, Antony N.",5.00%,15.00%,5.00%,,25.00%,10.00%,20.00%,,,10.00%,,,5.00%,,5.00%,,,,,,,,,,,,
,,,,,,25,24304,"Wegener, Susan E.",30.00%,15.00%,35.00%,,,5.00%,5.00%,5.00%,5.00%,,,,,,,,,,,,,,,,,,
,,,,,,26,24305,"Wegener, Susan E.",5.00%,35.00%,45.00%,,,,5.00%,,5.00%,,,,,,5.00%,,,,,,,,,,,,
,,,,,,27,26581,"Nestor Babcock, Sarah",25.00%,30.00%,,,5.00%,5.00%,25.00%,,,,5.00%,,,,5.00%,,,,,,,,,,,,
,,,,,,E03,17307,"Baker, Holly T.",25.00%,5.00%,60.00%,,,10.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,E04,17308,"Baker, Holly T.",30.00%,30.00%,40.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Y01,14980,"Bailey, Rachael D.",10.50%,26.30%,,,21.10%,15.80%,15.80%,,,5.30%,,5.30%,,,,,,,,,,,,,,,
,,,,,,Y02,14981,"Bailey, Rachael D.",10.50%,5.30%,,,31.60%,10.50%,21.10%,,,10.50%,,5.30%,5.30%,,,,,,,,,,,,,,
,,,,,,Y03,14983,"Bailey, Rachael D.",10.00%,25.00%,,,20.00%,10.00%,15.00%,10.00%,,10.00%,,,,,,,,,,,,,,,,,
,,,,,,Y04,14984,"Bailey, Rachael D.",21.10%,26.30%,,,10.50%,5.30%,15.80%,5.30%,,10.50%,,,5.30%,,,,,,,,,,,,,,
,,,,,,Y05,14985,"Ghafoor, Maryam A.",25.00%,10.00%,20.00%,,10.00%,15.00%,15.00%,,,,,,,,,,,,,,,,,5.00%,,,
,,,,,,Y06,14989,"Ghafoor, Maryam A.",15.00%,35.00%,15.00%,,5.00%,,5.00%,5.00%,,5.00%,,,,,5.00%,,,,,,,,,10.00%,,,
,,,,,,Y07,25197,"Nestor Babcock, Sarah",25.00%,30.00%,5.00%,,5.00%,10.00%,15.00%,,,,,,,,,,,,10.00%,,,,,,,,
,,,,,,Y08,25198,"Nestor Babcock, Sarah",35.00%,5.00%,5.00%,,5.00%,5.00%,20.00%,,5.00%,,,,,,10.00%,,,,,,,,,10.00%,,,
,,,,,,Y09,25199,"Ricks, Antony N.",15.00%,35.00%,,,,10.00%,20.00%,10.00%,,5.00%,,,,,,,,,,,,,,5.00%,,,
,,42100,Technical Writing,202320,Spring 2023,1,18998,"Ghafoor, Maryam A.",25.00%,20.00%,40.00%,,,,5.00%,,,,,,,,5.00%,,,,,,,,,5.00%,,,
,,,,,,3,18996,"Lark, Jolene B.",15.00%,,75.00%,,,5.00%,5.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,4,19001,"Defrench, Melissa K.",25.00%,20.00%,40.00%,,5.00%,,5.00%,,5.00%,,,,,,,,,,,,,,,,,,
,,,,,,5,19000,"Defrench, Melissa K.",25.00%,,75.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,58127,"Defrench, Melissa K.",25.00%,10.00%,50.00%,,5.00%,10.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,33,24338,"Baker, Holly T.",40.00%,,50.00%,,,,10.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,34,24339,"Ghafoor, Maryam A.",45.00%,20.00%,15.00%,,5.00%,,15.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,35,26580,"Defrench, Melissa K.",10.00%,5.00%,75.00%,,,5.00%,5.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,Y01,25207,"Pellegrini, Mason T.",45.00%,20.00%,10.00%,,5.00%,,15.00%,,,,,,,,5.00%,,,,,,,,,,,,
,,,,,,Y02,25208,"Pellegrini, Mason T.",35.00%,40.00%,10.00%,,,,10.00%,,,5.00%,,,,,,,,,,,,,,,,,
,,,,,,Y03,25209,"Clark, Tracy L.",10.50%,21.10%,5.30%,,21.10%,10.50%,5.30%,5.30%,,,,,,,10.50%,,,,,,,,,10.50%,,,
,,,,,,Y04,25210,"Clark, Tracy L.",5.30%,26.30%,10.50%,,5.30%,26.30%,10.50%,,,5.30%,,,,,5.30%,,,,,,,,,5.30%,,,
,,,,,,Y05,25211,"Clark, Tracy L.",,27.80%,,,16.70%,22.20%,5.60%,5.60%,5.60%,,,,,,,,,,,,,,,16.70%,,,
,,,,,,Y06,25212,"Baker, Holly T.",45.00%,10.00%,25.00%,,5.00%,10.00%,5.00%,,,,,,,,,,,,,,,,,,,,
,,,,,,Y07,25213,"Baker, Holly T.",42.90%,9.50%,14.30%,,9.50%,19.00%,,,4.80%,,,,,,,,,,,,,,,,,,
,,,,,,Y08,25214,"Zamierowski, Mark W.",25.00%,15.00%,5.00%,,20.00%,10.00%,10.00%,5.00%,,,,,,,,,,,,,,,,10.00%,,,
,,,,,,Y09,25215,"Zamierowski, Mark W.",22.20%,22.20%,,,38.90%,,5.60%,,,,,,,,5.60%,,,,,,,,,5.60%,,,
,,42201,Wrtg Health Human Sciences,202320,Spring 2023,1,13527,"Mccormick, Dan",5.00%,,90.00%,,,,,,,,,,,,5.00%,,,,,,,,,,,,
,,,,,,2,17722,"Mccormick, Dan",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,43201,Editing And Publishing,202320,Spring 2023,1,24295,"Baker, Holly T.",31.80%,31.80%,9.10%,,9.10%,4.50%,9.10%,,,4.50%,,,,,,,,,,,,,,,,,
,,,Editing And Publishing-Honors,202320,Spring 2023,1,24295,"Baker, Holly T.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43900,Disability Literature,202320,Spring 2023,3,24282,"Linett, Maren T.",10.50%,26.30%,,,15.80%,10.50%,31.60%,,,,,,,,5.30%,,,,,,,,,,,,
,,,Disability Literature-Honors,202320,Spring 2023,3,24282,"Linett, Maren T.",,,,,,100.00%,,,,,,,,,,,,,,,,,,,,,
,,44200,Shakespeare,202320,Spring 2023,1,24232,"White, Paul W.",86.70%,,,,,,,,,,,,,,6.70%,,,,,,,,,6.70%,,,
,,49200,Lit Secondary Schools,202320,Spring 2023,1,19023,"Carpenter, Kelly J.",29.40%,29.40%,17.60%,,5.90%,5.90%,5.90%,,,,,,,,5.90%,,,,,,,,,,,,
,,50700,Advanced Poetry Writing,202320,Spring 2023,1,14757,"Platt, Donald O.",76.50%,,,,17.60%,,,5.90%,,,,,,,,,,,,,,,,,,,
,,50900,Adv Fiction Writing,202320,Spring 2023,1,26805,"Solwitz, Sharon D.",9.10%,36.40%,18.20%,,9.10%,,18.20%,,,,,,,,,,,,,,,,,9.10%,,,
ENGR,ENGR-Engineering,10301,FYE Career Exploration,202320,Spring 2023,9,23968,"Jones, Lisa W.",95.00%,,,,,,,5.00%,,,,,,,,,,,,,,,,,,,
,,,Intro To ENGR In Practice,202320,Spring 2023,1,21007,"Swabey, Matthew A.",88.60%,,,,2.90%,,,,,,,,,,,,,,,,,,,8.60%,,,
,,,,,,LC1,15175,"Brophy, Sean",76.90%,,,,5.10%,,,5.10%,,,,,,,,,,,,,,,,12.80%,,,
,,,Intro To Nano & Quantum Techno,202320,Spring 2023,4,21044,"Boltasseva, Alexandra",11.10%,11.10%,61.10%,,,,,,,,,,,,,16.70%,,,,,,,,,,,
,,,Intro To Semiconductors,202320,Spring 2023,16,15199,"Tort, Joseph M.",96.40%,,,,0.70%,,,1.40%,,,,,,,,,,,,,,,,1.40%,,,
,,,,,,18,27938,"Tort, Joseph M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pharma Careers & Drug Dvlpment,202320,Spring 2023,7,23950,"Francis, Patrick M.",79.50%,,,,16.90%,,,3.60%,,,,,,,,,,,,,,,,,,,
,,,Silicon Valley Tech Industry,202320,Spring 2023,11,27379,"Francis, Patrick M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13000,Transform Ideas To Innovations,202320,Spring 2023,1,23942,"Mcfall, Gary T.",43.20%,,,,32.10%,,14.80%,1.20%,,2.50%,1.20%,,,,2.50%,,,,,,,,,2.50%,,,
,,13100,Trans Ideas To Innovation I,202320,Spring 2023,1,63559,"Morphew, Jason W.",38.20%,35.30%,,,2.90%,8.80%,8.80%,1.50%,,,,,,,2.90%,,,,,,,,,1.50%,,,
,,,,,,2,18597,"Wertz, Ruth E.",18.20%,30.30%,,,3.00%,6.10%,24.20%,3.00%,,3.00%,,,,,6.10%,,,,,,,,,6.10%,,,
,,13200,Trans Ideas To Innovation II,202320,Spring 2023,1,63528,"Davis, Kirsten A.",20.20%,29.40%,,,12.60%,9.20%,16.00%,1.70%,1.70%,5.90%,2.50%,,,,,,,,,,,,,0.80%,,,
,,,,,,2,63531,"Loweth, Robert P.",34.70%,31.40%,,,9.30%,8.50%,11.90%,,3.40%,,,,,,,,,,,,,,,0.80%,,,
,,,,,,3,63529,"Shah, Mrunal",29.20%,29.20%,,,12.50%,14.60%,4.20%,,4.20%,2.10%,2.10%,,,,,,,,,,,,,2.10%,,,
,,,,,,4,63532,"Loweth, Robert P.",19.20%,30.30%,,,18.20%,10.10%,12.10%,1.00%,1.00%,4.00%,1.00%,,,,2.00%,,,,,,,,,1.00%,,,
,,,,,,5,15179,"Davis, Kirsten A.",32.20%,27.10%,,,7.60%,4.20%,15.30%,2.50%,4.20%,3.40%,1.70%,,,,0.80%,,,,,,,,,0.80%,,,
,,,,,,36,15173,"Brophy, Sean",42.00%,33.60%,,,5.90%,3.40%,9.20%,0.80%,2.50%,0.80%,,,,,0.80%,,,,,,,,,0.80%,,,
,,,,,,37,15180,"Zbib, Mohamad B.",38.60%,27.20%,,,8.80%,10.50%,8.80%,0.90%,0.90%,0.90%,,,,,0.90%,,,,,,,,,2.60%,,,
,,,,,,39,15182,"Mcfall, Gary T.",20.20%,32.80%,,,10.90%,8.40%,14.30%,1.70%,0.80%,4.20%,2.50%,,,,2.50%,,,,,,,,,1.70%,,,
,,,,,,40,15185,"Shermadou, Amena S.",29.80%,34.60%,,,2.90%,8.70%,16.30%,1.90%,1.00%,2.90%,,,,,1.90%,,,,,,,,,,,,
,,,,,,41,15186,"Aguilar, Jeannete G.",53.30%,27.50%,,,4.20%,3.30%,10.00%,0.80%,0.80%,,,,,,,,,,,,,,,,,,
,,,,,,42,15189,"Aguilar, Jeannete G.",49.20%,20.30%,,,9.30%,6.80%,9.30%,1.70%,0.80%,1.70%,0.80%,,,,,,,,,,,,,,,,
,,,,,,43,15190,"Wible, Kathleen J.",18.50%,27.70%,,,11.80%,11.80%,16.80%,3.40%,,5.00%,2.50%,,,,0.80%,,,,,,,,,1.70%,,,
,,,,,,44,15193,"Wible, Kathleen J.",25.60%,39.30%,,,8.50%,6.80%,14.50%,0.90%,0.90%,2.60%,,,,,,,,,,,,,,0.90%,,,
,,,,,,45,15194,"Wible, Kathleen J.",31.70%,30.80%,,,6.70%,10.00%,10.00%,0.80%,2.50%,1.70%,2.50%,,,,2.50%,,,,,,,,,0.80%,,,
,,,,,,46,15449,"Zbib, Mohamad B.",33.60%,38.90%,,,1.80%,4.40%,15.00%,2.70%,1.80%,0.90%,,,,,,,,,,,,,,0.90%,,,
,,16200,Honors Intro To Phys & Engr II,202320,Spring 2023,H03,21127,"Whalen, Timothy M.",52.50%,6.30%,,,31.30%,1.30%,5.00%,1.30%,,1.30%,,,,,1.30%,,,,,,,,,,,,
